"site_id","watershed","is_core_watershed","year","egg_masses_annual","n_egg_records_annual","egg_status_annual","staff_mean_oct_mar","staff_max_oct_mar","staff_start_janmar","staff_mean_janmar","staff_mean_prev_oct_dec","n_staff_records_oct_mar","hydroperiod"
"AC01","AUDUBON CANYON",0,1997,NA,NA,"not_surveyed",NA,NA,NA,NA,NA,NA,"seasonal"
"AC01","AUDUBON CANYON",0,1998,NA,NA,"not_surveyed",NA,NA,NA,NA,NA,NA,"seasonal"
"AC01","AUDUBON CANYON",0,1999,NA,NA,"not_surveyed",NA,NA,NA,NA,NA,NA,"seasonal"
"AC01","AUDUBON CANYON",0,2000,NA,NA,"not_surveyed",NA,NA,NA,NA,NA,NA,"seasonal"
"AC01","AUDUBON CANYON",0,2001,NA,NA,"not_surveyed",NA,NA,NA,NA,NA,NA,"seasonal"
"AC01","AUDUBON CANYON",0,2002,NA,NA,"not_surveyed",NA,NA,NA,NA,NA,NA,"seasonal"
"AC01","AUDUBON CANYON",0,2003,NA,NA,"not_surveyed",NA,NA,NA,NA,NA,NA,"seasonal"
"AC01","AUDUBON CANYON",0,2004,NA,NA,"not_surveyed",NA,NA,NA,NA,NA,NA,"seasonal"
"AC01","AUDUBON CANYON",0,2005,NA,NA,"not_surveyed",NA,NA,NA,NA,NA,NA,"seasonal"
"AC01","AUDUBON CANYON",0,2006,NA,NA,"not_surveyed",NA,NA,NA,NA,NA,NA,"seasonal"
"AC01","AUDUBON CANYON",0,2007,NA,NA,"not_surveyed",NA,NA,NA,NA,NA,NA,"seasonal"
"AC01","AUDUBON CANYON",0,2008,NA,NA,"not_surveyed",NA,NA,NA,NA,NA,NA,"seasonal"
"AC01","AUDUBON CANYON",0,2009,NA,NA,"not_surveyed",NA,NA,NA,NA,NA,NA,"seasonal"
"AC01","AUDUBON CANYON",0,2010,NA,NA,"not_surveyed",NA,NA,NA,NA,NA,NA,"seasonal"
"AC01","AUDUBON CANYON",0,2011,NA,NA,"not_surveyed",NA,NA,NA,NA,NA,NA,"seasonal"
"AC01","AUDUBON CANYON",0,2012,NA,NA,"not_surveyed",NA,NA,NA,NA,NA,NA,"seasonal"
"AC01","AUDUBON CANYON",0,2013,NA,NA,"not_surveyed",NA,NA,NA,NA,NA,NA,"seasonal"
"AC01","AUDUBON CANYON",0,2014,NA,NA,"not_surveyed",NA,NA,NA,NA,NA,NA,"seasonal"
"AC01","AUDUBON CANYON",0,2015,NA,NA,"not_surveyed",NA,NA,NA,NA,NA,NA,"seasonal"
"AC01","AUDUBON CANYON",0,2016,NA,NA,"not_surveyed",NA,NA,NA,NA,NA,NA,"seasonal"
"AC01","AUDUBON CANYON",0,2017,NA,NA,"not_surveyed",NA,NA,NA,NA,NA,NA,"seasonal"
"AC01","AUDUBON CANYON",0,2018,NA,NA,"not_surveyed",NA,NA,NA,NA,NA,NA,"seasonal"
"AC01","AUDUBON CANYON",0,2019,NA,NA,"not_surveyed",NA,NA,NA,NA,NA,NA,"seasonal"
